,Actual,Linear_Regression_Forecast,Residuals
2024-01-31,197.71809144784228,188.48124688316858,9.236844564673703
2024-02-29,199.1847992231863,196.4083124918641,2.776486731322194
2024-03-31,218.94092792266278,197.78711070154912,21.153817221113655
2024-04-30,220.07458859791842,216.35912302674174,3.7154655711766793
2024-05-31,217.93589807415896,217.42483586723318,0.5110622069257715
2024-06-30,219.05838144420434,215.4143313108377,3.6440501333666475
2024-07-31,213.15499761247978,216.4695367764641,-3.3145391639843353
2024-08-31,204.65640059558098,210.9199820559567,-6.263581460375718
2024-09-30,190.48340430819806,202.9307625613058,-12.447358253107751
2024-10-31,192.4539381207439,189.60724833753181,2.846689783212099
2024-11-30,200.33580908132905,191.4596749343873,8.876134146941752
2024-12-31,212.8777256356118,198.86913287284685,14.008592762764948
